"items","intext","inname","inconstraint","outtext","outname","outconstraint","goldtext","goldname","goldconstraint","changed","correct","entity_name matched"
"284","the flagellum clavate, inserted very forward on the face near its anterior margin on each side of a central protuberance, which advanced over and conceals the clypeus;","protuberance","central","the flagellum clavate, inserted very forward on the face near its anterior margin on each side of a central protuberance, which advanced over and conceals the clypeus;","protuberance","sporophyll central","the flagellum clavate, inserted very forward on the face near its anterior margin on each side of a central protuberance, which advanced over and conceals the clypeus;","protuberance","head face central","Y","N",""
"285","male develops cloacal protuberance and has a partial brood patch.","protuberance","cloacal","male develops cloacal protuberance and has a partial brood patch.","protuberance","sporophyll cloacal","male develops cloacal protuberance and has a partial brood patch.","protuberance","cloacal","Y","N",""
"286","Sporophylls with two rounded apical protuberances.","protuberance","apical","Sporophylls with two rounded apical protuberances.","protuberance","sporophyll apical","Sporophylls with two rounded apical protuberances.","protuberance","sporophyll apical","Y","Y",""
"287","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm.","protuberance","apical","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm.","protuberance","cheilocystidium apical","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm.","protuberance","cheilocystidium apical","Y","Y",""
"288","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm.","element","terminal","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm.","element","cheilocystidium terminal","Cheilocystidia polymorphic, in large numbers, hyaline, fusiform or clavate, at times capitate or subcapitate, rarely mucronate or with a short apical protuberance, usually flexuous and with some constrictions, mostly simple, at times with basal septa, terminal element (13-) 15-41 x 7-12 µm, ante-terminal ones, when present, small, 7-17 x 5-7 µm.","element","cheilocystidium terminal","Y","Y",""
"289","Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","surface",,"Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","surface","pileus","Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","surface","pileus","Y","Y",""
"290","Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","margin",,"Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","margin","pileus","Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","margin","pileus","Y","Y",""
"291","Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","remnant",,"Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","remnant","pileus","Pileus 4-11 cm in diameter, at first hemispherical, then convex to plano-convex with shallow depression in the middle when mature, surface finely tomentose-fibrillose, at first whitish stained pale-brown all over, then the stains becoming progressively darker with age and loss of humidity, soon broken up into appressed scales, more numerose, more or less erect and partly imbricate towards the margin, with some whitish, woolly remnants from the universal veil.","remnant","pileus","Y","Y",""
"292","Surface smooth, sometimes deeply cracked.","surface",,"Surface smooth, sometimes deeply cracked.","surface","pileus","Surface smooth, sometimes deeply cracked.","surface","pileus","Y","Y",""
"293","Margin striate on the underside, involute even in old specimens, entire or with small veil remnants, exceeding the lamellae up to 2 mm in mature basidiomes.","margin",,"Margin striate on the underside, involute even in old specimens, entire or with small veil remnants, exceeding the lamellae up to 2 mm in mature basidiomes.","margin","pileus surface","Margin striate on the underside, involute even in old specimens, entire or with small veil remnants, exceeding the lamellae up to 2 mm in mature basidiomes.","margin","pileus","Y","N",""
"294","Margin striate on the underside, involute even in old specimens, entire or with small veil remnants, exceeding the lamellae up to 2 mm in mature basidiomes.","remnant","veil","Margin striate on the underside, involute even in old specimens, entire or with small veil remnants, exceeding the lamellae up to 2 mm in mature basidiomes.","remnant","pileus veil","Margin striate on the underside, involute even in old specimens, entire or with small veil remnants, exceeding the lamellae up to 2 mm in mature basidiomes.","remnant","pileus veil","Y","Y",""
"295","Annulus membranous, superous, thin, easily collapsing, leaving remnants along the pileus margin, upper surface finely striate.","remnant",,"Annulus membranous, superous, thin, easily collapsing, leaving remnants along the pileus margin, upper surface finely striate.","remnant","pileus","Annulus membranous, superous, thin, easily collapsing, leaving remnants along the pileus margin, upper surface finely striate.","remnant","pileus","Y","Y",""
"296","Annulus membranous, superous, thin, easily collapsing, leaving remnants along the pileus margin, upper surface finely striate.","surface","upper","Annulus membranous, superous, thin, easily collapsing, leaving remnants along the pileus margin, upper surface finely striate.","surface","annulus upper","Annulus membranous, superous, thin, easily collapsing, leaving remnants along the pileus margin, upper surface finely striate.","surface","annulus upper","Y","Y",""
"297","Primaries and secondaries black, with yellow-orange edges on outer web;","edge",,"Primaries and secondaries black, with yellow-orange edges on outer web;","edge","outer web","Primaries and secondaries black, with yellow-orange edges on outer web;","edge","outer web","Y","Y",""
"298","concealed portion of feathers olive brown.","portion",,"concealed portion of feathers olive brown.","portion","feather","concealed portion of feathers olive brown.","portion","feather","Y","Y",""
"299","Basal section of secondaries yellow-orange, forming small square patch on closed wing.","section","basal","Basal section of secondaries yellow-orange, forming small square patch on closed wing.","section","secondary basal","Basal section of secondaries yellow-orange, forming small square patch on closed wing.","section","secondary basal","Y","Y",""
"300","lower section of leg shorter than longest front toe;","section","lower","lower section of leg shorter than longest front toe;","section","leg lower","lower section of leg shorter than longest front toe;","section","leg lower","Y","Y",""
"301","Leaves dark green, semiglossy, 50-110 cm long, flat (not keeled) in section, with 24-62 leaflets;","section",,"Leaves dark green, semiglossy, 50-110 cm long, flat (not keeled) in section, with 24-62 leaflets;","section","leaf","Leaves dark green, semiglossy, 50-110 cm long, flat (not keeled) in section, with 24-62 leaflets;","section","leaf","Y","Y",""
"302","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","section",,"Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","section","annulus","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","section","annulus","Y","Y",""
"303","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","side","inner","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","side","annulus inner","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","side","annulus inner","Y","Y",""
"304","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","surface","lower","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","surface","annulus lower","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","surface","annulus lower","Y","Y",""
"305","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","margin",,"Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","margin","annulus","Annulus intermediate or inferous (very rarely it can superous), thick, more or less triangular or quadrangular in section, up to 1 cm thick and 1.5 cm broad when cut, in median or apical position, broadly attached to the stipe by its inner side, slightly striate on its upperside, and fibrillose-silky on the lower surface, even though in specimens grown in the wild it thinner and shows a fringed margin and a hardly prominent circular rim in the middle of the underside.","margin","annulus","Y","Y",""
"306","Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","section",,"Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","section","annulus","Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","section","annulus","Y","Y",""
"307","Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","surface","upper","Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","surface","annulus upper","Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","surface","annulus upper","Y","Y",""
"308","Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","surface","lower","Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","surface","annulus lower","Annulus thin, superous, simple or double with scales forming a cog-wheel, at times absent or intermediate, reduced to a narrow bracelet, triangular in section when it detaches from the stipe spontaneously or follows the pileus margin on expansion, upper surface white, smooth to finely striate, lower surface fibrillose, white.","surface","annulus lower","Y","Y",""
"309","the eyes ovate, placed a little above the middle at the sides of the head, which thinly covered with a fine silky down;","side",,"the eyes ovate, placed a little above the middle at the sides of the head, which thinly covered with a fine silky down;","side","head","the eyes ovate, placed a little above the middle at the sides of the head, which thinly covered with a fine silky down;","side","head","Y","Y",""
"310","the base and a spot on each side of the two following segments pale rufo-testaceous;","base",,"the base and a spot on each side of the two following segments pale rufo-testaceous;","base","abdomen","the base and a spot on each side of the two following segments pale rufo-testaceous;","base","segment","Y","N",""
"311","the base and a spot on each side of the two following segments pale rufo-testaceous;","side",,"the base and a spot on each side of the two following segments pale rufo-testaceous;","side","head","the base and a spot on each side of the two following segments pale rufo-testaceous;","side","segment","Y","N",""
"312","the antennae, mandibles, thorax at the sides and beneath, the metathorax and legs ferruginous.","side",,"the antennae, mandibles, thorax at the sides and beneath, the metathorax and legs ferruginous.","side","thorax","the antennae, mandibles, thorax at the sides and beneath, the metathorax and legs ferruginous.","side","thorax","Y","Y",""
"313","breast, sides, and flanks pinkish brown contrasting with white belly and sides of rump;","side",,"breast, sides, and flanks pinkish brown contrasting with white belly and sides of rump;","side","rump","breast, sides, and flanks pinkish brown contrasting with white belly and sides of rump;","side",,"Y","N",""
"314","breast, sides, and flanks pinkish brown contrasting with white belly and sides of rump;","side",,"breast, sides, and flanks pinkish brown contrasting with white belly and sides of rump;","side","rump","breast, sides, and flanks pinkish brown contrasting with white belly and sides of rump;","side","rump","Y","Y",""
"315","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","edge",,"Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","edge","rhachi","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","edge","rhachi","Y","Y",""
"316","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","side","adaxial","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","side","leaflet adaxial","Leaflets simple, entire, with numerous bifurcating parallel veins and no distinct midrib, leaflets articulated, inserted near the edges of the rhachis towards the adaxial side, lacking a differently coloured basal gland;","side","leaflet adaxial","Y","Y",""
"317","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","groove",,"petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","groove","petiole","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","groove","petiole upper side","Y","N",""
"318","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","upper","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","petiole upper","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","petiole upper","Y","Y",""
"319","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","lower","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","petiole lower","petiole 0.5-1 m long, often with a shallow groove on the upper side, armed with small 1-2 mm long prickles on the lower side;","side","petiole lower","Y","Y",""
"320","surface fibrillose-silky to fibrillose, very variable in colour, pure white, cream, ochre, more or less dark-brown or blackish chestnut-brown, smooth or breaking into triangular, appressed scales with a radial arrangement on a lighter background.","surface",,"surface fibrillose-silky to fibrillose, very variable in colour, pure white, cream, ochre, more or less dark-brown or blackish chestnut-brown, smooth or breaking into triangular, appressed scales with a radial arrangement on a lighter background.","surface","pileus","surface fibrillose-silky to fibrillose, very variable in colour, pure white, cream, ochre, more or less dark-brown or blackish chestnut-brown, smooth or breaking into triangular, appressed scales with a radial arrangement on a lighter background.","surface","pileus","Y","Y",""
"321","Margin thick, whitish, exceeding the lamellae up to 4 mm, and remaining involute for a long time, striate on the inner side.","margin",,"Margin thick, whitish, exceeding the lamellae up to 4 mm, and remaining involute for a long time, striate on the inner side.","margin","pileus surface","Margin thick, whitish, exceeding the lamellae up to 4 mm, and remaining involute for a long time, striate on the inner side.","margin","pileus","Y","N",""
"322","Margin thick, whitish, exceeding the lamellae up to 4 mm, and remaining involute for a long time, striate on the inner side.","side","inner","Margin thick, whitish, exceeding the lamellae up to 4 mm, and remaining involute for a long time, striate on the inner side.","side","pileus surface margin inner","Margin thick, whitish, exceeding the lamellae up to 4 mm, and remaining involute for a long time, striate on the inner side.","side","pileus margin inner","Y","N",""
"323","Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996.","side",,"Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996.","side","lamella","Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996.","side","lamella","Y","Y",""
"324","Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996.","content",,"Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996.","content","macrobasidium","Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996.","content","macrobasidium","Y","Y",""
"325","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","margin",,"blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","margin","blade","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","margin","blade","Y","Y",""
"326","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","side",,"blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","side","blade","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","side","blade","Y","Y",""
"327","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","base",,"blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","base","blade","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","base","blade","Y","Y",""
"328","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","apex",,"blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","apex","blade","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","apex","blade","Y","Y",""
"329","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","face",,"blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","face","blade","blades (1-nerved, lateral-veins obscure) obovate to spatulate, 10–30 × 7–18 mm (somewhat fleshy), margins entire or occasionally with 1–2 short, broad teeth per side, bases tapering, apices broadly obtuse, submucronate or slightly retuse, faces glabrous, gland-dotted, sometimes resinous.","face","blade","Y","Y",""
"330","Stems prostrate, flexible, forming mats, branchlets mostly turned to one side.","side",,"Stems prostrate, flexible, forming mats, branchlets mostly turned to one side.","side","stem","Stems prostrate, flexible, forming mats, branchlets mostly turned to one side.","side","stem","Y","Y",""
"331","Hymenophoral trama regular with a thin mediostratum of brownish hyphae in the lateral strata, 3-12 μm wide;","stratum","lateral","Hymenophoral trama regular with a thin mediostratum of brownish hyphae in the lateral strata, 3-12 μm wide;","stratum","hymenophoral tramum lateral","Hymenophoral trama regular with a thin mediostratum of brownish hyphae in the lateral strata, 3-12 μm wide;","stratum","hymenophoral tramum lateral","Y","Y",""
"332","the superior surface flattened, distinctly divided by two transverse sutures, and having a curved decline to the verge of the truncation of the metathorax;","surface","superior","the superior surface flattened, distinctly divided by two transverse sutures, and having a curved decline to the verge of the truncation of the metathorax;","surface","metathorax superior","the superior surface flattened, distinctly divided by two transverse sutures, and having a curved decline to the verge of the truncation of the metathorax;","surface","thorax superior","Y","N",""
"333","the metathorax has also a very stout spine at the lateral angles of its superior surface;","surface","superior","the metathorax has also a very stout spine at the lateral angles of its superior surface;","surface","metathorax superior","the metathorax has also a very stout spine at the lateral angles of its superior surface;","surface","metathorax superior","Y","Y",""
"334","Abdomen oblong subcylindrical, the base truncate;","base",,"Abdomen oblong subcylindrical, the base truncate;","base","abdomen","Abdomen oblong subcylindrical, the base truncate;","base","abdomen","Y","Y",""
"335","the node incrassate, anteriorly curving forwards over the metathorax, the upper surface nearly oval, shining and finely punctured.","surface","upper","the node incrassate, anteriorly curving forwards over the metathorax, the upper surface nearly oval, shining and finely punctured.","surface","node upper","the node incrassate, anteriorly curving forwards over the metathorax, the upper surface nearly oval, shining and finely punctured.","surface","node upper","Y","Y",""
"336","Leaflets flat, lacking a midrib, with numerous subparallel longitudinal veins and stomata on both surfaces, individual ptyxis flat.","surface",,"Leaflets flat, lacking a midrib, with numerous subparallel longitudinal veins and stomata on both surfaces, individual ptyxis flat.","surface","leaflet","Leaflets flat, lacking a midrib, with numerous subparallel longitudinal veins and stomata on both surfaces, individual ptyxis flat.","surface","leaflet","Y","Y",""
"337","microsporophylls with sterile tip composed of six steeply inclined facets surrounding a centrally depressed terminal facet, sporangia present on both the adaxial and abaxial surfaces of the fertile region.","tip",,"microsporophylls with sterile tip composed of six steeply inclined facets surrounding a centrally depressed terminal facet, sporangia present on both the adaxial and abaxial surfaces of the fertile region.","apex","microsporophyll","microsporophylls with sterile tip composed of six steeply inclined facets surrounding a centrally depressed terminal facet, sporangia present on both the adaxial and abaxial surfaces of the fertile region.","tip","microsporophyll","Y","Y","not matched"
